csc_name,csc_id
pepega,967662354749184954373430790553660917897165199316
pepega2,419858101674230580878290190743256664276144006446
letsdo,138164463127638205027032985510740228873978533680
taciturn,830765275681785465163181570552634760453491717041
cryptostamp,1044601010672025632642732996136046137137312086801
tigerklaue,560878604835798823783677678220982632138290656164
osterhase,1151810096365825896161409299148643416038077921917
stamp,490135355878337611366929256664228738000014790394
anonymous,85879027117051575117965552410015428303102739895
kairo,675946817706768216998960957837194760936536071597
andreas,220496703358415099846665630674566074096891467150
whaleshark,1026029547905334735322565670346719719855121855325
mheidsiek,1222887349614297021274232638032691029090832787060
diewillichhaben,190165446468088235772439745646501294413856237372
xsn,906844886613179693185752362308364887642697248222
josef-crypto-sammlung,415507742846973336559054685160065016754884502316
animalsonchain,728228029945238703923011485341026610875058543628
bertholomaeus,992102608172427205263514465481694202461864520459
andres,1174750765556606585236004415705525065519309223475
andre,1401903599830988895538444522054542417921534371402
meine,1394997013763487152947029492399566390793928338646
meinestamps,1225259305883588174206105378160874697859432644657
bluewhale,1057158482962634972826166939846129145456134927993
caston1,1098727320393933606647528376209946888833064858927
bratwurst,288378959873478741890749354417414437276987292669
bit,924521968255474409452861078307662830508164747653
vetinary,554246391596414881425739899815204293240570442141
trust,273486806247232643928207510048062131894970806010
digital,1419844488452888164979646689120083483521701945243
future,1229528701023009471411878319216984081117302966094
cs2,1114666220280929735499301416149574163232124609147
manuel,1259755981392421809722995522488806128464860329102
einhorn,582560279613336269841753512828676569869679043415
lilcoke,1290742052144462367718548211530081967178324186533
farmgod,415808525255562442256463289628830774010537735283
oldi,1369283275516846132127179431510125568505666721680
mws92,303903026979508443360014747300411720197111772085
unicorn,633510155434620791436471310797801067057883911248
postat20,503471498203148749481998107543122075373118290359
dingdong,941605472888733120513987221138432087839428093604
kowski,644465047021659388710404642259510096204482583392
honeybadger,1205554509815049645439480850504323203756769395721
panda,1324022266587776300057188574426795756121945948744
llama,902467266387682212105568802969892975975631805100
0000,1206576385255614435244419288563307855903521187138
truzer,1427808847523208452606603395274351926716988939858
doge,1015944030496319497517946206259475848579546706146
horstseine,376197126316783334178051772467243580262143574476
crypto-stamp,22404872571846258906580286856308590955113267015
mycollection,648049787150668701863752205534242488288188169080
cs1set,1072141453868055944788839080576081490667337033775
cryptostamp2,996295807719108113415259492725720079209162912626
,890555226942807278247986198772533597879000851400
nissla,60947417891298288741474314494238624395262732592
samuelphun,1337994336376265450051669871539257335399431285202
stamps-2nd-edition,232526748188681117957401535992483708927535404154
moon,702989442709847025338603992909877977867625667910
kimiko,704774863224434136509394746910953312369029668999
deadfox,1222081452330898137355523913598334500654899879814
originalcs2,1405045380822523247986138890224787035309365893341
btc,954376346957957533483860227366881730769285355934
1,1178287447336001455001658636881452608697199722939
a,1349350508374004020976931108389665337950597146634
cryptostempa,1068817406375024735922839967132145751393553071316
cryptoknafi,12341396451598020831853714341852665119136438194
cryptostempa500,819323839578936002716524419876753708067228666071
austria-rulez,1313825350279529545465722882195920169352600570150
crypto-stamps,566931344665978313875824779810232090267522060825
megacoin,660746850845539634138386249703914728332591608197
amazon,838126468928546435470471664612854257092371999999
officialcs2,788528492986907531344382331696252253331664412105
facebook,350525149777907201986238110422278736280828356572
neo,362037597509613944499186571023091571923547500892
cryptostamps,1457115872933407457447141059401488127112066436081
ross,395365325618432718635365635992770073106565176803
codingyourlife,829377565575077357368003878923714581001910616591
0x2a1113fc688,1195084733755440407192231391960307083017507902621
exit1one,327043096309059523331601829435415225460217819118
snottysnake,160671668674020273996776459958353790155827076808
mirag7,54945732303828473026843197587153431848298992354
andi,46347542516390971962180202776823196381076645405
goldeneseinhorn,134749715630005625583561328526060352984682150910
golden-unicorn,151231453591284751590551842112937891968687349141
paul,1364255123441269466175525792184990729989294179896
stamp2,371422289404906933054824835857468824185987759706
crypto20paul,1217185884382041865898981445509423448591470431615
thxvitalik,682711835842286499571254192775628765197307790898
toto,571321918424567423980751008515286768153279544751
prompter,403760309596811770769596899186531994643643297452
bibiyo,1152788071825607484415836284003403678651166127062
ppcryptos,309240007913647411911384825423472708132953554069
cocacola,500736634222649155990336823278405968789904525572
mhcs,224899282039319847612573824502904325036514303989
michaelssammlung,561828572543378893716806699323453200271843200774
coolbeans,605888371004257746250215883980654189420440042623
2020,970506847577202854281555419547426147548834711311
primalcypher,1382427654685072069992967262870032894128872973749
